Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-05-03,6,8,8,6,8,7,9,6,5,2,8,9,8,7,8,8,10,8,9,8,3,8,8,12,9,8,12,10,9,6,7,6,7,8,7,9,8,9,7,9,8,7,6,8,9,9,8,10,7,8
2020-05-10,9,3,8,7,10,7,10,7,10,5,7,8,8,6,10,9,10,9,10,5,8,9,10,3,8,6,11,9,9,7,6,8,8,10,8,8,8,8,8,7,8,8,8,8,8,11,8,10,6,9
2020-05-17,7,7,9,8,9,7,7,9,6,6,9,8,9,7,8,6,11,8,6,11,5,9,9,6,9,8,15,8,8,9,7,8,8,9,6,2,10,9,8,6,4,5,7,11,7,8,8,10,5,9
2020-05-24,6,6,9,7,9,6,8,0,7,9,8,8,8,8,7,10,9,8,9,12,14,9,8,5,7,8,0,6,9,7,10,13,9,8,7,5,8,7,7,4,6,6,9,6,7,6,10,10,5,7
2020-05-31,6,5,8,8,11,7,8,8,9,9,10,9,11,9,10,7,10,8,5,6,17,9,9,7,9,4,8,10,9,8,5,11,9,9,7,4,9,9,9,8,8,5,6,7,8,11,13,10,5,7
2020-06-07,6,5,10,7,10,7,8,5,11,6,10,9,9,7,9,8,12,9,6,11,9,7,9,8,10,10,11,9,9,9,8,10,9,9,8,9,10,10,7,6,8,10,9,5,8,8,11,12,10,8
2020-06-14,9,8,8,8,10,7,9,6,10,9,8,9,9,8,8,9,12,9,4,11,0,8,9,0,10,7,22,8,9,10,9,8,7,9,8,5,8,10,7,9,9,7,7,6,8,9,8,11,2,9
2020-06-21,7,6,9,7,11,6,9,9,10,6,8,9,9,6,9,12,11,10,8,10,12,8,9,7,8,8,10,10,8,9,8,8,9,8,8,8,10,8,8,5,7,8,9,8,8,8,11,9,7,7
2020-06-28,6,6,10,6,11,6,10,9,13,5,7,8,8,7,7,6,11,8,5,10,12,7,9,6,8,9,14,10,7,8,8,7,7,8,6,5,7,8,7,7,8,7,13,4,8,7,7,9,10,9
2020-07-05,6,10,10,7,9,6,8,6,8,8,10,8,9,7,10,9,12,10,8,7,7,8,10,0,10,9,11,7,9,9,4,10,9,9,9,4,9,8,6,6,8,6,11,7,9,8,13,11,5,7
2020-07-12,10,9,10,7,11,7,9,4,13,8,7,8,9,6,9,8,12,8,5,5,6,8,9,8,10,11,23,9,9,8,8,5,7,9,8,9,10,7,8,7,8,5,6,8,9,10,12,9,6,8
