Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2020-08-02,79,33,85,64,81,78,74,43,43,69,76,63,80,84,67,60,76,47,61,81,78,69,74,62,72,59,58,81,64,73,60,80,79,50,81,85,93,86,73,68,75,47,81,77,62,77,87,71,77,55
2020-08-09,83,57,86,75,79,86,81,75,44,69,73,74,82,79,61,73,87,49,67,83,83,75,77,63,82,68,65,78,79,74,68,79,79,64,78,76,81,87,73,75,68,50,81,82,51,77,74,77,75,54
2020-08-16,78,61,84,70,76,77,78,60,44,66,44,71,86,83,79,86,69,46,65,86,87,78,80,67,84,100,64,77,78,77,59,80,79,54,87,90,81,88,67,80,78,51,78,88,36,75,83,80,85,34
2020-08-23,84,43,83,78,75,82,90,67,41,73,77,76,80,82,72,78,75,46,55,77,91,76,81,57,80,44,57,88,74,79,67,87,80,77,75,89,86,89,61,74,57,50,78,83,40,78,78,69,77,75
2020-08-30,89,67,87,65,78,84,81,58,42,67,86,56,80,81,88,80,73,47,66,86,86,77,76,58,82,53,64,85,75,80,60,83,88,52,86,75,84,95,79,79,60,50,80,94,46,74,80,68,81,78
2020-09-06,91,51,93,67,77,80,81,82,46,67,86,85,80,82,86,75,76,58,61,81,86,80,77,64,87,74,55,82,81,77,64,83,92,71,86,83,63,90,87,74,77,50,76,89,54,78,72,71,84,37
2020-09-13,74,62,86,67,78,85,84,67,44,75,75,76,83,81,80,85,80,49,69,83,81,81,75,73,78,76,63,88,65,75,62,84,91,66,81,90,75,87,66,77,51,50,83,87,50,80,76,82,91,59
2020-09-20,81,62,86,70,75,77,82,62,44,74,93,82,83,87,82,70,77,50,68,80,82,82,72,64,78,54,57,89,68,77,71,88,75,66,78,94,89,86,69,71,66,51,77,78,64,78,82,68,89,35
2020-09-27,79,88,88,64,81,81,87,80,44,63,91,86,76,84,77,78,74,55,56,88,83,79,74,72,79,83,59,81,70,76,73,80,79,62,80,85,93,90,77,71,72,53,80,78,68,78,90,78,95,74
2020-10-04,80,57,84,56,82,80,81,69,44,69,86,72,80,88,78,79,81,44,64,84,85,75,80,72,85,56,70,80,68,79,67,84,84,66,87,90,85,97,70,75,45,49,82,84,50,78,77,65,85,59
2020-10-11,75,42,83,68,85,87,82,80,43,68,81,78,79,79,72,78,76,50,90,84,90,71,77,73,73,77,64,92,74,74,62,84,77,67,80,88,84,94,60,72,57,50,78,80,41,78,79,70,84,27
2020-10-18,85,43,94,68,82,73,88,70,43,65,62,70,78,89,75,76,83,55,87,83,89,78,71,69,84,64,67,97,58,82,62,84,85,58,83,100,87,87,74,73,58,49,80,83,55,80,92,72,81,65
2020-10-25,79,49,82,75,74,77,77,54,44,69,81,76,81,96,86,71,71,48,72,91,80,79,77,66,82,59,67,82,76,69,58,84,76,62,78,75,81,90,78,68,65,51,79,84,47,82,89,87,85,48
2020-11-01,71,50,66,61,67,68,71,58,37,59,69,59,69,70,62,57,63,39,61,73,73,67,62,56,63,63,53,72,62,65,56,74,62,52,69,70,71,78,49,62,41,41,69,62,66,62,66,47,65,63
2020-11-08,87,71,72,67,72,81,77,71,40,70,65,55,81,85,82,72,78,50,68,82,83,75,71,67,85,69,60,80,68,78,58,79,78,92,77,92,74,90,66,75,71,50,79,82,62,71,82,72,95,60
