Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-06-21,78,65,59,58,66,61,67,60,62,70,65,66,64,63,61,59,60,62,61,51,53,68,62,47,68,62,61,59,61,60,67,64,65,57,64,40,64,65,59,72,73,53,65,63,59,65,70,63,59,62
2020-06-28,68,59,57,55,62,58,56,57,65,59,62,58,62,52,61,59,64,58,60,49,52,64,60,52,65,55,59,54,64,51,70,64,61,58,62,60,65,59,60,63,72,52,61,67,58,62,66,56,55,60
2020-07-05,80,61,64,58,65,61,63,68,55,69,58,74,66,62,61,67,64,63,62,50,56,68,68,75,66,60,54,58,68,64,70,49,67,61,61,55,61,65,67,70,66,57,67,70,63,71,66,63,69,66
2020-07-12,70,63,67,62,62,62,65,65,59,55,60,69,66,59,63,62,58,62,65,35,61,68,67,58,70,54,57,66,63,61,64,60,60,57,62,59,62,68,63,68,71,55,68,58,61,73,64,63,65,63
2020-07-19,73,61,63,58,62,66,61,64,61,75,60,73,64,62,66,57,63,65,60,58,65,69,73,66,70,63,58,63,69,59,73,64,70,61,70,53,69,66,63,70,75,57,56,70,64,67,70,63,67,73
2020-07-26,71,56,65,58,66,60,63,66,64,62,64,70,65,67,63,62,69,62,73,64,60,70,69,54,68,62,40,64,65,64,72,62,69,61,67,64,59,65,61,66,68,52,57,61,65,69,64,64,57,64
2020-08-02,78,63,63,61,63,63,58,71,62,67,64,74,62,58,67,60,64,66,60,63,71,70,69,48,69,66,54,58,69,66,68,48,65,60,63,58,61,63,61,71,70,64,70,55,65,70,64,65,63,58
2020-08-09,75,48,66,63,65,68,65,53,71,71,66,69,68,59,64,67,66,66,60,53,64,68,63,46,74,68,57,61,72,65,72,55,66,57,63,51,62,66,73,71,65,51,70,60,62,75,59,64,73,61
2020-08-16,66,67,71,63,73,63,61,58,67,70,55,71,66,66,73,60,61,67,70,61,53,71,65,61,67,65,61,68,70,60,74,56,62,57,65,62,63,64,62,68,71,61,61,62,64,67,68,66,63,69
2020-08-23,70,63,70,63,68,64,62,61,67,67,50,70,71,67,67,66,66,68,55,62,70,68,60,71,72,75,63,59,67,60,72,68,65,59,64,52,67,65,62,66,55,57,65,60,63,74,65,69,68,64
2020-08-30,67,62,65,62,69,61,62,61,65,66,61,68,69,68,74,68,64,70,58,75,58,70,67,66,69,85,56,63,66,58,70,57,63,60,66,59,66,69,63,71,68,67,61,52,65,72,55,67,64,68
2020-09-06,71,58,70,59,64,59,64,66,57,57,58,72,63,66,69,67,46,66,58,56,73,69,63,60,67,61,54,60,62,59,78,45,64,53,66,54,60,74,62,65,66,58,62,60,65,70,63,59,62,67
2020-09-13,72,70,66,63,69,67,65,69,67,68,63,71,71,63,74,72,58,73,54,54,65,70,77,66,76,65,71,66,64,63,73,69,68,60,68,46,71,68,62,68,68,64,59,61,66,71,63,64,64,71
2020-09-20,75,62,67,63,67,70,66,80,72,68,63,77,71,65,72,69,62,72,64,71,71,70,64,58,71,71,45,68,70,69,78,62,69,62,64,65,69,68,67,70,67,64,79,65,69,72,69,67,73,69
2020-09-27,72,71,67,65,71,68,68,65,68,65,68,75,72,72,69,72,73,72,71,52,70,70,72,65,72,74,80,68,76,63,79,58,69,59,68,60,67,74,62,76,66,64,64,55,67,75,72,66,66,72
2020-10-04,74,79,71,66,66,66,75,66,68,77,64,73,67,63,73,69,65,73,64,88,64,74,65,69,74,72,56,70,66,65,74,60,73,67,65,71,66,65,72,72,63,66,68,68,67,74,69,64,77,73
2020-10-11,76,64,71,71,71,72,65,58,76,69,62,75,67,69,68,72,71,75,58,62,82,76,64,57,70,66,84,66,68,57,72,63,66,60,68,67,61,68,67,62,64,67,77,69,65,78,62,62,69,75
2020-10-18,74,65,73,66,73,71,67,64,75,77,70,75,72,65,70,71,72,75,63,67,74,78,70,57,73,61,61,65,67,66,74,73,62,61,69,72,65,80,68,72,68,62,75,70,67,82,76,67,66,65
2020-10-25,65,67,72,64,66,68,66,77,71,79,57,80,70,63,71,66,73,74,74,70,51,66,58,64,71,68,54,67,71,68,76,88,61,56,63,64,62,68,67,72,66,64,76,58,71,83,74,68,67,73
2020-11-01,65,51,51,51,61,55,56,71,61,60,54,69,60,59,55,56,62,56,52,63,55,61,58,56,59,55,60,48,56,53,59,55,51,47,56,54,46,62,53,65,62,54,47,54,53,62,58,51,55,56
2020-11-08,65,64,68,66,69,65,66,62,58,79,60,71,72,68,66,60,64,67,60,71,65,72,70,63,75,81,66,67,65,60,72,66,60,61,63,61,65,63,63,75,76,59,68,60,63,74,76,66,56,67
