Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2020-11-01,13,8,13,8,7,10,9,13,17,2,12,12,11,8,9,6,11,10,10,0,13,8,9,10,8,6,18,8,10,12,7,0,11,12,9,11,12,12,9,7,6,6,10,4,9,9,15,9,6,6
2020-11-08,14,9,17,10,12,14,7,6,16,12,12,13,12,10,12,8,12,12,9,8,11,12,10,10,10,4,23,14,13,10,8,11,12,13,12,7,14,14,12,8,10,9,20,8,12,10,14,12,9,7
2020-11-15,18,6,17,11,15,11,10,12,14,5,10,15,11,8,11,9,14,8,14,10,8,10,10,5,13,8,33,11,11,14,8,11,10,14,10,16,12,14,11,5,9,6,20,12,11,10,14,12,11,10
2020-11-22,13,8,15,9,11,12,9,11,13,8,18,13,11,9,10,7,16,10,7,9,7,8,9,4,10,4,17,11,11,10,7,14,12,13,9,12,11,12,11,4,10,9,15,12,11,10,12,12,7,8
2020-11-29,11,8,17,9,13,14,12,9,15,10,13,14,13,10,11,8,14,11,9,4,20,11,10,10,12,4,24,14,14,14,7,4,13,13,11,7,14,15,12,4,8,6,15,12,11,7,23,10,9,9
2020-12-06,15,7,15,9,16,11,11,8,11,9,7,13,12,9,13,7,13,11,9,8,6,8,12,0,10,10,21,12,12,12,9,10,10,13,12,10,14,16,11,8,9,7,23,11,13,9,13,10,10,8
2020-12-13,13,7,14,9,13,13,12,6,14,16,8,14,11,10,12,9,15,10,13,8,7,11,10,6,13,8,11,12,11,12,8,9,12,14,11,9,15,14,11,7,10,9,15,10,11,9,20,12,9,10
2020-12-20,12,3,16,11,13,12,11,12,17,6,16,14,10,9,12,10,11,10,7,4,21,9,11,32,13,8,10,11,11,13,6,12,14,14,11,7,15,16,11,6,8,9,14,8,12,8,8,13,6,9
2020-12-27,14,5,16,12,13,13,11,5,11,8,17,14,13,9,12,9,18,12,7,9,12,10,10,7,13,9,17,11,15,12,6,15,12,16,11,11,15,16,13,8,10,9,18,9,12,12,18,13,8,10
2021-01-03,13,11,20,12,14,18,11,4,17,12,16,15,14,11,13,9,13,13,12,0,11,11,12,16,15,9,32,14,15,13,8,0,15,17,11,11,19,16,12,6,13,11,18,6,14,11,19,15,9,9
2021-01-10,13,10,17,10,15,14,13,11,17,6,11,15,13,10,13,6,13,12,14,5,8,11,10,17,12,9,20,11,16,14,9,17,14,16,13,10,16,15,11,11,10,9,23,12,13,10,21,14,10,11
2021-01-17,16,8,16,12,9,14,13,15,15,7,18,15,12,11,12,8,16,13,11,6,5,10,11,0,12,6,13,12,13,12,7,11,13,15,12,5,17,14,12,9,9,9,14,11,12,10,17,12,6,12
2021-01-24,14,9,17,12,13,16,13,9,17,9,19,14,12,11,14,10,18,12,15,10,13,9,12,17,13,6,24,15,14,12,8,0,14,15,13,12,18,15,13,8,9,9,12,13,13,10,16,11,11,11
2021-01-31,9,11,18,10,14,16,11,10,10,7,7,17,13,8,13,8,15,13,8,18,10,12,11,6,11,12,24,14,14,12,8,9,14,16,12,16,14,14,14,12,12,8,22,10,12,10,16,14,7,10
2021-02-07,12,3,17,11,14,14,11,5,17,7,13,15,12,10,12,11,17,11,16,3,8,12,10,0,12,5,7,14,13,12,11,15,13,15,13,13,15,12,12,7,6,10,13,10,12,9,14,13,12,11
2021-02-14,13,9,18,12,10,14,10,0,18,7,8,14,12,10,12,9,11,11,6,4,11,10,9,7,11,7,10,15,13,11,8,15,14,15,11,12,17,18,11,8,10,11,15,12,13,7,17,15,9,9
2021-02-21,13,6,19,11,15,14,11,11,24,6,19,16,12,10,12,10,16,12,12,10,0,12,10,7,11,11,16,14,14,9,8,8,14,15,13,9,15,15,12,7,9,11,24,12,13,9,15,12,8,11
2021-02-28,13,7,18,10,14,14,12,12,17,7,13,14,13,11,13,8,16,12,12,4,10,10,10,12,12,7,22,16,15,13,8,9,13,16,11,11,14,18,12,6,9,10,15,15,12,10,14,15,13,9
2021-03-07,9,7,18,9,11,14,10,10,17,6,13,14,12,10,12,11,15,11,14,7,0,10,11,10,12,6,26,12,12,13,6,10,13,15,9,10,13,14,12,8,8,7,22,8,11,11,6,13,6,10
2021-03-14,10,5,16,11,12,13,11,9,16,8,12,14,10,8,10,9,12,10,10,5,7,9,9,3,10,10,21,9,12,14,8,6,12,15,10,11,12,15,11,8,9,9,19,10,12,9,15,12,8,9
2021-03-21,12,8,17,9,10,14,8,8,22,10,10,14,11,10,10,7,15,11,16,7,11,8,10,17,8,12,10,11,12,13,9,14,13,15,9,13,14,13,11,8,9,7,17,7,10,9,19,14,9,9
